[30-10-2023 18:28:19]ph de tipo: Errores con valor: -7
[30-10-2023 18:28:24]ph de tipo: Errores con valor: 0
[30-10-2023 18:28:29]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:11]ph de tipo: Correctos con valor: 7
[30-10-2023 18:39:16]ph de tipo: Errores con valor: 0
[30-10-2023 18:39:21]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:26]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:31]ph de tipo: Correctos con valor: 8
[30-10-2023 18:39:36]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:41]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:46]ph de tipo: Errores con valor: -1
[30-10-2023 18:39:51]ph de tipo: Correctos con valor: 6
[30-10-2023 18:39:56]ph de tipo: Correctos con valor: 8
[30-10-2023 20:26:08] [19776]ph de tipo: Errores con valor: -8
[30-10-2023 20:26:13] [19776]ph de tipo: Errores con valor: -9
[30-10-2023 20:26:18] [19776]ph de tipo: Errores con valor: -6
[30-10-2023 20:26:23] [19776]ph de tipo: Errores con valor: -8
[30-10-2023 20:26:28] [19776]ph de tipo: Errores con valor: -6
[30-10-2023 20:26:33] [19776]ph de tipo: Correctos con valor: 6
[30-10-2023 20:26:38] [19776]ph de tipo: Correctos con valor: 7
[30-10-2023 20:26:43] [19776]ph de tipo: Correctos con valor: 7
[30-10-2023 20:26:54] [12272]ph de tipo: FueraDeRango con valor: 7
[30-10-2023 20:26:59] [12272]ph de tipo: Correctos con valor: 6
[30-10-2023 20:27:04] [12272]ph de tipo: Errores con valor: -6
[30-10-2023 20:27:09] [12272]ph de tipo: Errores con valor: 0
[30-10-2023 20:27:14] [12272]ph de tipo: Correctos con valor: 7
[30-10-2023 20:27:19] [12272]ph de tipo: Correctos con valor: 7
[30-10-2023 20:27:24] [12272]ph de tipo: Correctos con valor: 8
[30-10-2023 20:27:29] [12272]ph de tipo: Correctos con valor: 7
[30-10-2023 20:27:34] [12272]ph de tipo: Errores con valor: 0
[30-10-2023 20:27:39] [12272]ph de tipo: Errores con valor: -6
[30-10-2023 20:27:44] [12272]ph de tipo: Correctos con valor: 7
[30-10-2023 20:27:49] [12272]ph de tipo: Correctos con valor: 8
[30-10-2023 20:50:23] [18556]ph de tipo: Errores con valor: 0
[30-10-2023 20:50:28] [18556]ph de tipo: Correctos con valor: 6
[30-10-2023 20:50:33] [18556]ph de tipo: Correctos con valor: 8
